Date,Tanggal,Maks,BF,HF,SF,BA,HA,SA,Curah hujan
11-2021,Nov - 2021,"33,071",0,0,0,0,0,0,147.5
12-2021,Dec - 2021,"86,232",0,0,0,0,0,0,484.7
01-2022,Jan - 2022,"69,324",0,0,0,0,0,0,217.9
02-2022,Feb - 2022,"51,515",0,0,0,0,0,0,244.6
03-2022,Mar - 2022,"59,896",0,0,0,0,0,0,271
04-2022,Apr - 2022,"41,500",1,0,0,0,0,0,59.6
05-2022,May - 2022,"61,855",0,1,0,0,0,0,129.7
06-2022,Jun - 2022,"96,677",0,0,1,1,0,0,87.9
07-2022,Jul - 2022,"95,156",0,0,0,0,1,0,21.9
08-2022,Aug - 2022,"62,268",0,0,0,0,0,1,1.5
09-2022,Sep - 2022,"64,045",0,0,0,0,0,0,3.4
10-2022,Oct - 2022,"55,131",0,0,0,0,0,0,350.1
11-2022,Nov - 2022,"30,678",0,0,0,0,0,0,302.1
12-2022,Dec - 2022,"50,644",0,0,0,0,0,0,226.3
01-2023,Jan - 2023,"60,428",0,0,0,0,0,0,184
02-2023,Feb - 2023,"61,671",0,0,0,0,0,0,314.2
03-2023,Mar - 2023,"76,698",1,0,0,0,0,0,140.4
04-2023,Apr - 2023,"46,324",0,1,0,0,0,0,202.8
05-2023,May - 2023,"37,251",0,0,1,1,0,0,10
06-2023,Jun - 2023,"37,694",0,0,0,0,1,0,15.3
07-2023,Jul - 2023,"33,329",0,0,0,0,0,1,50.8
08-2023,Aug - 2023,"41,283",0,0,0,0,0,0,0
09-2023,Sep - 2023,"28,470",0,0,0,0,0,0,5
10-2023,Oct - 2023,"66,150",0,0,0,0,0,0,1
11-2023,Nov - 2023,"87,067",0,0,0,0,0,0,99.2
12-2023,Dec - 2023,"85,501",0,0,0,0,0,0,121.7
01-2024,Jan - 2024,"70,646",0,0,0,0,0,0,132.2
02-2024,Feb - 2024,"69,647",0,0,0,0,0,0,368.5
03-2024,Mar - 2024,"54,214",1,0,0,0,0,0,88.4
04-2024,Apr - 2024,"32,963",0,1,0,0,0,0,193.7
05-2024,May - 2024,"26,993",0,0,1,1,0,0,28.4
06-2024,Jun - 2024,"33,204",0,0,0,0,1,0,10.7
07-2024,Jul - 2024,"72,530",0,0,0,0,0,1,12.8
08-2024,Aug - 2024,"67,849",0,0,0,0,0,0,0
09-2024,Sep - 2024,"32,930",0,0,0,0,0,0,13.7
10-2024,Oct - 2024,"35,877",0,0,0,0,0,0,16.6
11-2024,Nov - 2024,"31,321",0,0,0,0,0,0,160
12-2024,Dec - 2024,"56,942",0,0,0,0,0,0,318.9
