Tanggal,Maks,BF,HF,SF,BA,HA,SA,Curah hujan
Apr - 2023,"46,324",0,1,0,0,0,0,202.8
May - 2023,"37,251",0,0,1,1,0,0,10
Jun - 2023,"37,694",0,0,0,0,1,0,15.3
Jul - 2023,"33,329",0,0,0,0,0,1,50.8
Aug - 2023,"41,283",0,0,0,0,0,0,0
Sep - 2023,"28,470",0,0,0,0,0,0,5
Oct - 2023,"66,150",0,0,0,0,0,0,1
Nov - 2023,"87,067",0,0,0,0,0,0,99.2
Dec - 2023,"85,501",0,0,0,0,0,0,121.7
Jan - 2024,"70,646",0,0,0,0,0,0,132.2
Feb - 2024,"69,647",0,0,0,0,0,0,368.5
Mar - 2024,"54,214",1,0,0,0,0,0,88.4
Apr - 2024,"32,963",0,1,0,0,0,0,193.7
May - 2024,"26,993",0,0,1,1,0,0,28.4
Jun - 2024,"33,204",0,0,0,0,1,0,10.7
Jul - 2024,"72,530",0,0,0,0,0,1,12.8
Aug - 2024,"67,849",0,0,0,0,0,0,0
Sep - 2024,"32,930",0,0,0,0,0,0,13.7
Oct - 2024,"35,877",0,0,0,0,0,0,16.6
Nov - 2024,"31,321",0,0,0,0,0,0,160
Dec - 2024,"56,942",0,0,0,0,0,0,318.9
