"Date","Tanggal","Maks_2","Curahhujan","Maks_ch","Maks","HF","HA"
"05-2022","May - 2022","61855","129.7","61855","95156","1","0"
"06-2022","Jun - 2022","96677","87.9","55131","55131","0","0"
"07-2022","Jul - 2022","95156","21.9","95156","66855","0","1"
"08-2022","Aug - 2022","62268","1.5","62268","62268","0","0"
"09-2022","Sep - 2022","64045","3.4","64045","64045","0","0"
"10-2022","Oct - 2022","55131","350.1","96677","96677","0","0"
"11-2022","Nov - 2022","30678","302.1","30678","30678","0","0"
"12-2022","Dec - 2022","50644","226.3","50644","50644","0","0"
"01-2023","Jan - 2023","60428","184","60428","60428","0","0"
"02-2023","Feb - 2023","61671","314.2","87067","87067","0","0"
"03-2023","Mar - 2023","76698","140.4","76698","37694","0","0"
"04-2023","Apr - 2023","46324","202.8","46324","76698","1","0"
"05-2023","May - 2023","37251","10","37251","37251","0","0"
"06-2023","Jun - 2023","37694","15.3","37694","55324","0","1"
"07-2023","Jul - 2023","33329","50.8","33329","33329","0","0"
"08-2023","Aug - 2023","41283","0","28470","28470","0","0"
"09-2023","Sep - 2023","28470","5","41283","41283","0","0"
"10-2023","Oct - 2023","66150","1","66150","66150","0","0"
"11-2023","Nov - 2023","87067","99.2","61671","61671","0","0"
"12-2023","Dec - 2023","85501","121.7","85501","85501","0","0"
"01-2024","Jan - 2024","70646","132.2","69647","69647","0","0"
"02-2024","Feb - 2024","69647","368.5","70646","32963","0","0"
"03-2024","Mar - 2024","54214","88.4","54214","54214","0","0"
"04-2024","Apr - 2024","32963","193.7","32963","70646","1","0"
"05-2024","May - 2024","26993","28.4","26993","26993","0","0"
"06-2024","Jun - 2024","33204","10.7","33204","53204","0","1"
"07-2024","Jul - 2024","72530","12.8","72530","33321","0","0"
"08-2024","Aug - 2024","67849","0","31321","31321","0","0"
"09-2024","Sep - 2024","32930","13.7","32930","32930","0","0"
"10-2024","Oct - 2024","35877","16.6","35877","35877","0","0"
"11-2024","Nov - 2024","31321","160","67849","67849","0","0"
"12-2024","Dec - 2024","56942","318.9","56942","56942","0","0"
